x,psi_0,psi_1,psi_2,potential_scaled
-5.000000,-0.000000,-0.000000,-0.000001,1.250000
-4.989990,-0.000000,-0.000000,-0.000002,1.245000
-4.979980,-0.000000,-0.000001,-0.000002,1.240010
-4.969970,-0.000000,-0.000001,-0.000003,1.235030
-4.959960,-0.000000,-0.000001,-0.000004,1.230060
-4.949950,-0.000000,-0.000001,-0.000005,1.225100
-4.939940,-0.000000,-0.000001,-0.000006,1.220150
-4.929930,-0.000000,-0.000001,-0.000007,1.215210
-4.919920,-0.000000,-0.000002,-0.000008,1.210281
-4.909910,-0.000000,-0.000002,-0.000009,1.205361
-4.899900,-0.000000,-0.000002,-0.000010,1.200451
-4.889890,-0.000000,-0.000002,-0.000010,1.195551
-4.879880,-0.000000,-0.000002,-0.000011,1.190661
-4.869870,-0.000000,-0.000003,-0.000012,1.185782
-4.859860,-0.000000,-0.000003,-0.000013,1.180912
-4.849850,-0.000000,-0.000003,-0.000014,1.176052
-4.839840,-0.000000,-0.000003,-0.000015,1.171202
-4.829830,-0.000001,-0.000004,-0.000017,1.166363
-4.819820,-0.000001,-0.000004,-0.000018,1.161533
-4.809810,-0.000001,-0.000004,-0.000019,1.156714
-4.799800,-0.000001,-0.000004,-0.000020,1.151904
-4.789790,-0.000001,-0.000005,-0.000021,1.147104
-4.779780,-0.000001,-0.000005,-0.000022,1.142315
-4.769770,-0.000001,-0.000005,-0.000024,1.137535
-4.759760,-0.000001,-0.000005,-0.000025,1.132766
-4.749750,-0.000001,-0.000006,-0.000026,1.128006
-4.739740,-0.000001,-0.000006,-0.000028,1.123257
-4.729730,-0.000001,-0.000006,-0.000029,1.118517
-4.719720,-0.000001,-0.000007,-0.000031,1.113788
-4.709710,-0.000001,-0.000007,-0.000033,1.109068
-4.699700,-0.000001,-0.000008,-0.000034,1.104359
-4.689690,-0.000001,-0.000008,-0.000036,1.099659
-4.679680,-0.000001,-0.000008,-0.000038,1.094970
-4.669670,-0.000001,-0.000009,-0.000039,1.090291
-4.659660,-0.000001,-0.000009,-0.000041,1.085621
-4.649650,-0.000001,-0.000010,-0.000043,1.080962
-4.639640,-0.000002,-0.000010,-0.000045,1.076313
