n1,n2,wavelength_nm,energy_eV,series
1,2,121.54,10.2000,Lyman
1,3,102.55,12.0889,Lyman
1,4,97.23,12.7500,Lyman
1,5,94.96,13.0560,Lyman
1,6,93.76,13.2222,Lyman
2,3,656.34,1.8889,Balmer
2,4,486.17,2.5500,Balmer
2,5,434.08,2.8560,Balmer
2,6,410.21,3.0222,Balmer
2,7,397.04,3.1224,Balmer
3,4,1875.24,0.6611,Paschen
3,5,1281.91,0.9671,Paschen
3,6,1093.89,1.1333,Paschen
3,7,1005.01,1.2336,Paschen
4,5,4051.45,0.3060,Brackett
4,6,2625.34,0.4722,Brackett
4,7,2165.69,0.5724,Brackett
4,8,1944.70,0.6375,Brackett
